Id;Shortcut;Name;Fill;Color
0;Sonstige;sonstige Parteien;grey;black
1;CDU/CSU;Christlich Demokratische Union / Christlich-Soziale Union;black;white
2;SPD;Sozialdemokratische Partei Deutschlands;red;black
3;FDP;Freie Demokratische Partei;yellow;black
4;GRÜNE;Bündnis 90/Die Grünen;green;black
5;LINKE;Die Linke;purple;black
6;PIRATEN;Piratenpartei;cyan;black
7;AfD;Alternative für Deutschland;brown;black
8;FW;Freie Wähler;lightblue;black
9;NPD;Nationaldemokratische Partei Deutschlands;brown;black
10;SSW;Südschleswigscher Wählerverband;orange;black
11;Bayernpartei;Bayernpartei e.V.;orange;black
12;ÖDP;Ökologisch-Demokratische Partei;orange;black
13;Die PARTEI;Partei für Arbeit  Rechtsstaat Tierschutz Elitenförderung und basisdemokratische Initiative;cyan;black
14;BVB/FW;Brandenburger Vereinigte Bürgerbewegungen/Freie Wähler;orange;black
15;Tierschutzpartei;Partei Mensch Umwelt Tierschutz;orange;black
16;BIW;Bürger in Wut;orange;black
17;Familie;Familie;orange;black
18;Volt;Volt Deutschland;orange;black
21;bunt.saar;bunt.saar – sozial-ökologische liste;orange;black
22;BfTh;Bürger für Thüringen;orange;black
23;BSW;Bündnis Sahra Wagebnknecht;violet;black
24;Plus Brandenburg;Plus Brandenburg;lightgrey;black
25;Werte Union;Werte Union;black;white
101;CDU;Christlich Demokratische Union;black;white
102;CSU;Christlich-Soziale Union;black;white
900;REP;Repubilkaner;brown;black
901;PDS;Partei des Demokratischen Sozialismus;purple;black
902;LINKE.PDS;Linke / Partei des Demokratischen Sozialismus;purple;black
