Id,pid,page,title,include
1,1,.htm,Aktuell,1
1,2,/2017.htm,2013-2017,1
1,3,/2013.htm,2009-2013,1
1,4,/2009.htm,2005-2009,1
1,5,/2005.htm,2002-2005,1
1,6,/2002.htm,1998-2002,1
2,1,.htm,Aktuell,1
2,2,/2013.htm,2009-2013,1
2,3,/2008.htm,2008,1
2,4,/2007.htm,2007,1
2,5,/2006.htm,2006,1
2,6,/2005.htm,2005,1
2,7,/2004.htm,2004,1
2,8,/2003.htm,2003,1
2,9,/2002.htm,2002,1
2,10,/2001.htm,2001,1
2,11,/2000.htm,2000,1
2,12,/1999.htm,1999,1
2,13,/1998.htm,1998,1
3,1,.htm,Aktuell,1
3,2,/2013.htm,2009-2013,1
3,3,/2008.htm,2008,1
3,4,/2007.htm,2007,1
3,5,/2006.htm,2006,1
3,6,/2005.htm,2005,1
3,7,/2004.htm,2004,1
3,8,/2003.htm,2003,1
3,9,/2002.htm,2002,1
3,10,/2001.htm,2001,1
3,11,/2000.htm,2000,1
3,12,/1999.htm,1999,1
4,1,.htm,Aktuell,1
4,2,/2013.htm,2009-2013,1
4,3,/2008.htm,2008,1
4,4,/2007.htm,2007,1
4,5,/2006.htm,2006,1
4,6,/2005.htm,2005,1
4,7,/2004.htm,2004,1
4,8,/2003.htm,2003,1
4,9,/2002.htm,2002,1
4,10,/2001.htm,2001,0
4,11,/2000.htm,2000,0
4,12,/1999.htm,1999,0
5,1,.htm,Aktuell,1
6,1,.htm,Aktuell,1
6,2,/politbarometer-2017.htm,2013-2017,1
6,3,/politbarometer-2013.htm,2009-2013,1
6,4,/politbarometer-2009.htm,2005-2009,1
6,5,/politbarometer-2005.htm,2002-2005,1
6,6,/politbarometer-2002.htm,1998-2002,1
6,7,/politbarometer-1998.htm,1994-1998,1
7,1,.htm,Aktuell,1
7,2,/projektion-2017.htm,2013-2017,1
7,3,/projektion-2013.htm,2009-2013,1
7,4,/projektion-2009.htm,2005-2009,1
7,5,/projektion-2005.htm,2002-2005,1
8,1,.htm,Aktuell,1
8,2,/2021.htm,2017-2021,1
8,3,/2017.htm,2013-2017,1
8,3,/2013.htm,2012-2013,1
9,1,.htm,Aktuell,1
