"Id","pid","page","title"
1,1,".htm","Aktuell"
1,2,"/2017.htm","2013-2017"
1,3,"/2013.htm","2009-2013"
1,4,"/2009.htm","2005-2009"
1,5,"/2005.htm","2002-2005"
1,6,"/2002.htm","1998-2002"
2,1,".htm","Aktuell"
2,2,"/2013.htm","2009-2013"
2,3,"/2008.htm","2008"
2,4,"/2007.htm","2007"
2,5,"/2006.htm","2006"
2,6,"/2005.htm","2005"
2,7,"/2004.htm","2004"
2,8,"/2003.htm","2003"
2,9,"/2002.htm","2002"
2,10,"/2001.htm","2001"
2,11,"/2000.htm","2000"
2,12,"/1999.htm","1999"
2,13,"/1998.htm","1998"
3,1,".htm","Aktuell"
3,2,"/2013.htm","2009-2013"
3,3,"/2008.htm","2008"
3,4,"/2007.htm","2007"
3,5,"/2006.htm","2006"
3,6,"/2005.htm","2005"
3,7,"/2004.htm","2004"
3,8,"/2003.htm","2003"
3,9,"/2002.htm","2002"
3,10,"/2001.htm","2001"
3,11,"/2000.htm","2000"
3,12,"/1999.htm","1999"
4,1,".htm","Aktuell"
4,2,"/2013.htm","2009-2013"
4,3,"/2008.htm","2008"
4,4,"/2007.htm","2007"
4,5,"/2006.htm","2006"
4,6,"/2005.htm","2005"
4,7,"/2004.htm","2004"
4,8,"/2003.htm","2003"
4,9,"/2002.htm","2002"
4,10,"/2001.htm","2001"
4,11,"/2000.htm","2000"
4,12,"/1999.htm","1999"
5,1,".htm","Aktuell"
6,1,".htm","Aktuell"
6,2,"/politbarometer-2017.htm","2013-2017"
6,3,"/politbarometer-2013.htm","2009-2013"
6,4,"/politbarometer-2009.htm","2005-2009"
6,5,"/politbarometer-2005.htm","2002-2005"
6,6,"/politbarometer-2002.htm","1998-2002"
6,7,"/politbarometer-1998.htm","1994-1998"
7,1,".htm","Aktuell"
7,2,"/projektion-2017.htm","2013-2017"
7,3,"/projektion-2013.htm","2009-2013"
7,4,"/projektion-2009.htm","2005-2009"
7,5,"/projektion-2005.htm","2002-2005"
8,1,".htm","Aktuell"
8,2,"/2021.htm","2017-2021"
8,3,"/2017.htm","2013-2017"
8,3,"/2013.htm","2012-2013"
9,1,".htm","Aktuell"
