2022-10-21;22.0;25.0;17.5;8.0;16.0;3.5;8.0;1910
2022-10-06;21.0;25.0;16.0;9.0;16.0;4.5;8.5;1923
2022-09-22;22;26;18;8;13.5;4;8.5;1700
2022-09-11;20;25.5;19;7;14;5.5;9;1300
2022-08-19;18;25;26;6;14;3;8;1433
2022-08-12;16;24;25.5;8;14.5;3.5;8.5;2920
2022-07-20;22;24;24;8.5;10.5;3.5;7.5;1400
2022-07-06;22;25;22;8;10;4;9;1700
2022-06-26;22;25;21;7;12;4;9;2430
2022-06-08;22;24;20;7;13;6;8;1603
2022-06-01;18;27;25.5;8;9;4;8.5;1500
2022-05-16;23.5;29;23;5.5;7.5;2.5;9;1302
2022-05-09;24;23.5;22.5;10.5;9;3;7.5;1610
2022-04-24;24.5;22.5;22;11;8.5;3;8.5;1007
2022-04-05;27;25.5;19;8.5;9;3;8;2450
2022-03-21;26.5;25.5;18.5;10;8.5;3;8;1923
2022-02-27;26;23.5;17.5;11.5;10.5;4;7;2030
2022-02-15;25;24.5;17;9.5;9.5;6;8.5;1200
2022-02-03;21;28;19;8.5;10;5.5;8;2330
2022-01-18;27.5;22.5;17;10.5;10;4.5;8;1920
2021-12-19;30;21.5;14.5;11.5;10;4;8.5;1120
2021-12-06;29;18;16.5;13.5;11;4;8;1002
2021-11-24;27;22.5;15.5;11.5;10;5;8.5;1002
2021-11-07;28;20.5;15.5;14;10.5;4;7.5;1200
2021-10-14;27;19;17.5;14;10;4;8.5;1210
2021-09-24;25.5;22.5;14;12;11;7;8;1400
2021-09-21;25;21.5;15;12.5;11;6.5;8.5;1801
2021-09-16;27;20;15;12.5;11;6.5;8;1400
2021-09-08;28;19;14;12;11;6;10;1208
2021-08-31;27;19.5;15.5;13;10.5;6.5;8;2340
2021-08-18;22;22;17.5;11;11;7;9.5;2005
